phenotypeId,phenotypeName,referentConceptId,clinicalDescription,literatureReview,phenotypeNotes
80182000,Dermatomyositis,80182,"Overview: Autoimmune condition that causes skin changes and muscle weakness (idiopathic inflammatory myopathy). Unknown cause. Presentation: Red skin rash around the eyelids, red bumps around the joints (Gottron papules), arm and leg muscle weakness, joint pain Assessment: Clinical exam, blood analysis - creatine kinase (CK) and lactic dehydrogenase (LDH), autoantibodies; skin or muscle biopsy, Electromyography (EMG), MRI to scan muscles.Plan: Manage symptoms - corticosteroids, immunosuppressants, physical therapy, and exercise.Prognosis: Symptom improvement. Chronic - can last for years or be lifelong. Muscle weakness gets worse over time and leads to stiff joints and muscle wasting.",,
27918000,Eosinophilic esophagitis,27918,"Overview: This is a chronic, immune/antigen-mediated, esophageal disease characterized clinically by symptoms related to esophageal dysfunction and histologically by eosinophil-predominant inflammationPresentation: Adults and teenagers frequently present with dysphagia and food impactions. Children may have symptoms of feeding difficulties, gastroesophageal reflux symptoms, and abdominal pain. Dysphagia, food impaction, chest pain that is often centrally located and may not respond to antacids, symptoms of gastroesophageal reflux disease-like symptoms/refractory heartburn along with upper abdominal pain.Assessment: This is a diagnosis of exclusion, by excluding other causes of the symptoms along with upper endoscopy with esophageal biopsies showing histological findings of eosinophilia (eosinophil predominant inflammation on biopsy)Plan: Management involves dietary, pharmacologic and endoscopic interventions – using combination of elimination diets, acid suppression, topical steroids in esophageus, and esophageal dilatation in stricture.Prognosis: untreated patients may have progressive lifelong symptoms, that maybe episodic. Long-term natural history of disease is not established.",,
