cohort_id,count_value,min_value,max_value,average_value,standard_deviation,median_value,p_10_value,p_25_value,p_75_value,p_90_value,time_metric,database_id
17492,479,1,27318,7395.699373695198,5470.029306735725,6571,1132,3247,10249,14822,time (days) between cohort start and end,Eunomia
17493,479,1,27318,7395.699373695198,5470.029306735725,6571,1132,3247,10249,14822,time (days) between cohort start and end,Eunomia
17492,479,1,27318,7395.699373695198,5470.029306735725,6571,1132,3247,10249,14822,observation time (days) after index,Eunomia
17493,479,1,27318,7395.699373695198,5470.029306735725,6571,1132,3247,10249,14822,observation time (days) after index,Eunomia
17492,479,11572,16833,14215.88935281837,1191.3115106245937,14201,12616,13246,15129,15920,observation time (days) prior to index,Eunomia
17493,479,11572,16833,14215.88935281837,1191.3115106245937,14201,12616,13246,15129,15920,observation time (days) prior to index,Eunomia
